=== 2026-01-21T08:46:16 doc_id=489 page=7 phase=pass1 steps=822 min_openxml_idx=429 pdf_units=195 openxml_units=969 ===
[0] Block0 Char="μ" PDF[0] -> U0(pdf_0) OX[4142] -> U415(93770) | SKIP cross_page_backward: openxml_idx=415 < min_from_prev_page=429
[212] Block36 Char="0" PDF[217] -> U48(pdf_48) OX[4899] -> U436(93791) | MATCH new_assignment cnt:1
[213] Block36 Char="." PDF[218] -> U48(pdf_48) OX[4900] -> U436(93791) | MATCH continue_existing_assignment cnt:2
[214] Block36 Char="3" PDF[219] -> U48(pdf_48) OX[4901] -> U436(93791) | MATCH continue_existing_assignment cnt:3
[215] Block36 Char="7" PDF[220] -> U48(pdf_48) OX[4902] -> U436(93791) | MATCH continue_existing_assignment cnt:4
[216] Block36 Char=")" PDF[221] -> U49(pdf_49) OX[4903] -> U436(93791) | MATCH new_assignment cnt:1
[217] Block37 Char="=" PDF[222] -> U50(pdf_50) OX[4907] -> U436(93791) | MATCH new_assignment cnt:1
[218] Block37 Char="0" PDF[223] -> U51(pdf_51) OX[4908] -> U436(93791) | MATCH new_assignment cnt:1
[219] Block37 Char="t" PDF[224] -> U52(pdf_52) OX[4909] -> U438(93793) | MATCH new_assignment cnt:1
[220] Block37 Char="a" PDF[225] -> U52(pdf_52) OX[4910] -> U438(93793) | MATCH continue_existing_assignment cnt:2
[221] Block37 Char="t" PDF[226] -> U52(pdf_52) OX[4911] -> U438(93793) | MATCH continue_existing_assignment cnt:3
[222] Block38 Char="μ" PDF[228] -> U54(pdf_54) OX[4912] -> U439(93794) | MATCH new_assignment cnt:1
[223] Block39 Char="l" PDF[229] -> U54(pdf_54) OX[4914] -> U439(93794) | MATCH continue_existing_assignment cnt:2
[224] Block39 Char="o" PDF[230] -> U54(pdf_54) OX[4915] -> U439(93794) | MATCH continue_existing_assignment cnt:3
[225] Block39 Char="(" PDF[231] -> U55(pdf_55) OX[4916] -> U439(93794) | MATCH new_assignment cnt:1
[226] Block39 Char="1" PDF[232] -> U55(pdf_55) OX[4917] -> U439(93794) | MATCH continue_existing_assignment cnt:2
[227] Block39 Char="." PDF[233] -> U55(pdf_55) OX[4918] -> U439(93794) | MATCH continue_existing_assignment cnt:3
[228] Block39 Char="4" PDF[234] -> U55(pdf_55) OX[4919] -> U439(93794) | MATCH continue_existing_assignment cnt:4
[229] Block39 Char="7" PDF[235] -> U55(pdf_55) OX[4920] -> U439(93794) | MATCH continue_existing_assignment cnt:5
[230] Block39 Char="," PDF[236] -> U55(pdf_55) OX[4921] -> U439(93794) | MATCH continue_existing_assignment cnt:6
[231] Block39 Char="0" PDF[237] -> U55(pdf_55) OX[4922] -> U439(93794) | MATCH continue_existing_assignment cnt:7
[232] Block39 Char="." PDF[238] -> U55(pdf_55) OX[4923] -> U439(93794) | MATCH continue_existing_assignment cnt:8
[233] Block39 Char="4" PDF[239] -> U55(pdf_55) OX[4924] -> U439(93794) | MATCH continue_existing_assignment cnt:9
[234] Block39 Char="2" PDF[240] -> U55(pdf_55) OX[4925] -> U439(93794) | MATCH continue_existing_assignment cnt:10
[235] Block39 Char="," PDF[241] -> U55(pdf_55) OX[4926] -> U439(93794) | MATCH continue_existing_assignment cnt:11
[236] Block39 Char="0" PDF[242] -> U55(pdf_55) OX[4927] -> U439(93794) | MATCH continue_existing_assignment cnt:12
[237] Block39 Char="." PDF[243] -> U55(pdf_55) OX[4928] -> U439(93794) | MATCH continue_existing_assignment cnt:13
[238] Block39 Char="2" PDF[244] -> U55(pdf_55) OX[4929] -> U439(93794) | MATCH continue_existing_assignment cnt:14
[239] Block39 Char="6" PDF[245] -> U55(pdf_55) OX[4930] -> U439(93794) | MATCH continue_existing_assignment cnt:15
[240] Block39 Char=")" PDF[246] -> U55(pdf_55) OX[4931] -> U439(93794) | MATCH continue_existing_assignment cnt:16
[241] Block39 Char="=" PDF[247] -> U56(pdf_56) OX[4932] -> U439(93794) | MATCH new_assignment cnt:1
[242] Block39 Char="e" PDF[248] -> U57(pdf_57) OX[4933] -> U439(93794) | MATCH new_assignment cnt:1
[243] Block40 Char="-" PDF[249] -> U57(pdf_57) OX[4935] -> U439(93794) | MATCH continue_existing_assignment cnt:2
[244] Block41 Char="1" PDF[250] -> U57(pdf_57) OX[4937] -> U439(93794) | MATCH continue_existing_assignment cnt:3
[245] Block42 Char="2" PDF[251] -> U58(pdf_58) OX[4939] -> U439(93794) | MATCH new_assignment cnt:1
[246] Block43 Char="(" PDF[252] -> U58(pdf_58) OX[4942] -> U439(93794) | MATCH continue_existing_assignment cnt:2
[247] Block43 Char="1" PDF[253] -> U58(pdf_58) OX[4943] -> U439(93794) | MATCH continue_existing_assignment cnt:3
[248] Block43 Char="." PDF[254] -> U58(pdf_58) OX[4944] -> U439(93794) | MATCH continue_existing_assignment cnt:4
[249] Block43 Char="4" PDF[255] -> U58(pdf_58) OX[4945] -> U439(93794) | MATCH continue_existing_assignment cnt:5
[250] Block43 Char="7" PDF[256] -> U58(pdf_58) OX[4946] -> U439(93794) | MATCH continue_existing_assignment cnt:6
[251] Block43 Char="-" PDF[257] -> U58(pdf_58) OX[4947] -> U439(93794) | MATCH continue_existing_assignment cnt:7
[252] Block43 Char="0" PDF[258] -> U58(pdf_58) OX[4948] -> U439(93794) | MATCH continue_existing_assignment cnt:8
[253] Block43 Char="." PDF[259] -> U58(pdf_58) OX[4949] -> U439(93794) | MATCH continue_existing_assignment cnt:9
[254] Block43 Char="2" PDF[260] -> U58(pdf_58) OX[4950] -> U439(93794) | MATCH continue_existing_assignment cnt:10
[255] Block43 Char="6" PDF[261] -> U58(pdf_58) OX[4951] -> U439(93794) | MATCH continue_existing_assignment cnt:11
[256] Block44 Char="0" PDF[262] -> U59(pdf_59) OX[4953] -> U439(93794) | MATCH new_assignment cnt:1
[257] Block44 Char="." PDF[263] -> U59(pdf_59) OX[4954] -> U439(93794) | MATCH continue_existing_assignment cnt:2
[258] Block44 Char="4" PDF[264] -> U59(pdf_59) OX[4955] -> U439(93794) | MATCH continue_existing_assignment cnt:3
[259] Block44 Char="2" PDF[265] -> U59(pdf_59) OX[4956] -> U439(93794) | MATCH continue_existing_assignment cnt:4
[260] Block44 Char=")" PDF[266] -> U60(pdf_60) OX[4957] -> U439(93794) | MATCH new_assignment cnt:1
[261] Block45 Char="=" PDF[267] -> U61(pdf_61) OX[4961] -> U439(93794) | MATCH new_assignment cnt:1
[262] Block45 Char="0" PDF[268] -> U62(pdf_62) OX[4962] -> U439(93794) | MATCH new_assignment cnt:1
[263] Block46 Char="μ" PDF[270] -> U64(pdf_64) OX[4963] -> U440(93795) | MATCH new_assignment cnt:1
[264] Block47 Char="m" PDF[271] -> U64(pdf_64) OX[4965] -> U440(93795) | MATCH continue_existing_assignment cnt:2
[265] Block47 Char="d" PDF[272] -> U64(pdf_64) OX[4966] -> U440(93795) | MATCH continue_existing_assignment cnt:3
[266] Block47 Char="(" PDF[273] -> U65(pdf_65) OX[4967] -> U440(93795) | MATCH new_assignment cnt:1
[267] Block47 Char="1" PDF[274] -> U65(pdf_65) OX[4968] -> U440(93795) | MATCH continue_existing_assignment cnt:2
[268] Block47 Char="." PDF[275] -> U65(pdf_65) OX[4969] -> U440(93795) | MATCH continue_existing_assignment cnt:3
[269] Block47 Char="4" PDF[276] -> U65(pdf_65) OX[4970] -> U440(93795) | MATCH continue_existing_assignment cnt:4
[270] Block47 Char="7" PDF[277] -> U65(pdf_65) OX[4971] -> U440(93795) | MATCH continue_existing_assignment cnt:5
[271] Block47 Char="," PDF[278] -> U65(pdf_65) OX[4972] -> U440(93795) | MATCH continue_existing_assignment cnt:6
[272] Block47 Char="0" PDF[279] -> U65(pdf_65) OX[4973] -> U440(93795) | MATCH continue_existing_assignment cnt:7
[273] Block47 Char="." PDF[280] -> U65(pdf_65) OX[4974] -> U440(93795) | MATCH continue_existing_assignment cnt:8
[274] Block47 Char="6" PDF[281] -> U65(pdf_65) OX[4975] -> U440(93795) | MATCH continue_existing_assignment cnt:9
[275] Block47 Char="1" PDF[282] -> U65(pdf_65) OX[4976] -> U440(93795) | MATCH continue_existing_assignment cnt:10
[276] Block47 Char="," PDF[283] -> U65(pdf_65) OX[4977] -> U440(93795) | MATCH continue_existing_assignment cnt:11
[277] Block47 Char="1" PDF[284] -> U65(pdf_65) OX[4978] -> U440(93795) | MATCH continue_existing_assignment cnt:12
[278] Block47 Char="." PDF[285] -> U65(pdf_65) OX[4979] -> U440(93795) | MATCH continue_existing_assignment cnt:13
[279] Block47 Char="5" PDF[286] -> U65(pdf_65) OX[4980] -> U440(93795) | MATCH continue_existing_assignment cnt:14
[280] Block47 Char="7" PDF[287] -> U65(pdf_65) OX[4981] -> U440(93795) | MATCH continue_existing_assignment cnt:15
[281] Block47 Char=")" PDF[288] -> U65(pdf_65) OX[4982] -> U440(93795) | MATCH continue_existing_assignment cnt:16
[282] Block47 Char="=" PDF[289] -> U66(pdf_66) OX[4983] -> U440(93795) | MATCH new_assignment cnt:1
[283] Block47 Char="e" PDF[290] -> U67(pdf_67) OX[4984] -> U440(93795) | MATCH new_assignment cnt:1
[284] Block48 Char="-" PDF[291] -> U67(pdf_67) OX[4986] -> U440(93795) | MATCH continue_existing_assignment cnt:2
[285] Block49 Char="1" PDF[292] -> U67(pdf_67) OX[4988] -> U440(93795) | MATCH continue_existing_assignment cnt:3
[286] Block50 Char="2" PDF[293] -> U68(pdf_68) OX[4990] -> U440(93795) | MATCH new_assignment cnt:1
[287] Block51 Char="(" PDF[294] -> U68(pdf_68) OX[4993] -> U440(93795) | MATCH continue_existing_assignment cnt:2
[288] Block51 Char="1" PDF[295] -> U68(pdf_68) OX[4994] -> U440(93795) | MATCH continue_existing_assignment cnt:3
[289] Block51 Char="." PDF[296] -> U68(pdf_68) OX[4995] -> U440(93795) | MATCH continue_existing_assignment cnt:4
[290] Block51 Char="4" PDF[297] -> U68(pdf_68) OX[4996] -> U440(93795) | MATCH continue_existing_assignment cnt:5
[291] Block51 Char="7" PDF[298] -> U68(pdf_68) OX[4997] -> U440(93795) | MATCH continue_existing_assignment cnt:6
[292] Block51 Char="-" PDF[299] -> U68(pdf_68) OX[4998] -> U440(93795) | MATCH continue_existing_assignment cnt:7
[293] Block51 Char="1" PDF[300] -> U68(pdf_68) OX[4999] -> U440(93795) | MATCH continue_existing_assignment cnt:8
[294] Block51 Char="." PDF[301] -> U68(pdf_68) OX[5000] -> U440(93795) | MATCH continue_existing_assignment cnt:9
[295] Block51 Char="5" PDF[302] -> U68(pdf_68) OX[5001] -> U440(93795) | MATCH continue_existing_assignment cnt:10
[296] Block51 Char="7" PDF[303] -> U68(pdf_68) OX[5002] -> U440(93795) | MATCH continue_existing_assignment cnt:11
[297] Block52 Char="0" PDF[304] -> U69(pdf_69) OX[5004] -> U440(93795) | MATCH new_assignment cnt:1
[298] Block52 Char="." PDF[305] -> U69(pdf_69) OX[5005] -> U440(93795) | MATCH continue_existing_assignment cnt:2
[299] Block52 Char="6" PDF[306] -> U69(pdf_69) OX[5006] -> U440(93795) | MATCH continue_existing_assignment cnt:3
[300] Block52 Char="1" PDF[307] -> U69(pdf_69) OX[5007] -> U440(93795) | MATCH continue_existing_assignment cnt:4
[301] Block52 Char=")" PDF[308] -> U70(pdf_70) OX[5008] -> U440(93795) | MATCH new_assignment cnt:1
[302] Block53 Char="=" PDF[309] -> U71(pdf_71) OX[5012] -> U440(93795) | MATCH new_assignment cnt:1
[303] Block53 Char="0" PDF[310] -> U72(pdf_72) OX[5013] -> U440(93795) | MATCH new_assignment cnt:1
[304] Block53 Char="." PDF[311] -> U72(pdf_72) OX[5014] -> U440(93795) | MATCH continue_existing_assignment cnt:2
[305] Block53 Char="8" PDF[312] -> U72(pdf_72) OX[5015] -> U440(93795) | MATCH continue_existing_assignment cnt:3
[306] Block53 Char="4" PDF[313] -> U72(pdf_72) OX[5016] -> U440(93795) | MATCH continue_existing_assignment cnt:4
[307] Block53 Char="μ" PDF[314] -> U73(pdf_73) OX[5017] -> U441(93796) | MATCH new_assignment cnt:1
[308] Block54 Char="h" PDF[315] -> U73(pdf_73) OX[5019] -> U441(93796) | MATCH continue_existing_assignment cnt:2
[309] Block54 Char="i" PDF[316] -> U73(pdf_73) OX[5020] -> U441(93796) | MATCH continue_existing_assignment cnt:3
[310] Block54 Char="(" PDF[317] -> U74(pdf_74) OX[5021] -> U441(93796) | MATCH new_assignment cnt:1
[311] Block54 Char="1" PDF[318] -> U74(pdf_74) OX[5022] -> U441(93796) | MATCH continue_existing_assignment cnt:2
[312] Block54 Char="." PDF[319] -> U74(pdf_74) OX[5023] -> U441(93796) | MATCH continue_existing_assignment cnt:3
[313] Block54 Char="4" PDF[320] -> U74(pdf_74) OX[5024] -> U441(93796) | MATCH continue_existing_assignment cnt:4
[314] Block54 Char="7" PDF[321] -> U74(pdf_74) OX[5025] -> U441(93796) | MATCH continue_existing_assignment cnt:5
[315] Block54 Char="," PDF[322] -> U74(pdf_74) OX[5026] -> U441(93796) | MATCH continue_existing_assignment cnt:6
[316] Block54 Char="0" PDF[323] -> U74(pdf_74) OX[5027] -> U441(93796) | MATCH continue_existing_assignment cnt:7
[317] Block54 Char="." PDF[324] -> U74(pdf_74) OX[5028] -> U441(93796) | MATCH continue_existing_assignment cnt:8
[318] Block54 Char="4" PDF[325] -> U74(pdf_74) OX[5029] -> U441(93796) | MATCH continue_existing_assignment cnt:9
[319] Block54 Char="7" PDF[326] -> U74(pdf_74) OX[5030] -> U441(93796) | MATCH continue_existing_assignment cnt:10
[320] Block54 Char="," PDF[327] -> U74(pdf_74) OX[5031] -> U441(93796) | MATCH continue_existing_assignment cnt:11
[321] Block54 Char="1" PDF[328] -> U74(pdf_74) OX[5032] -> U441(93796) | MATCH continue_existing_assignment cnt:12
[322] Block54 Char="." PDF[329] -> U74(pdf_74) OX[5033] -> U441(93796) | MATCH continue_existing_assignment cnt:13
[323] Block54 Char="9" PDF[330] -> U74(pdf_74) OX[5034] -> U441(93796) | MATCH continue_existing_assignment cnt:14
[324] Block54 Char="7" PDF[331] -> U74(pdf_74) OX[5035] -> U441(93796) | MATCH continue_existing_assignment cnt:15
[325] Block54 Char=")" PDF[332] -> U74(pdf_74) OX[5036] -> U441(93796) | MATCH continue_existing_assignment cnt:16
[326] Block54 Char="=" PDF[333] -> U74(pdf_74) OX[5037] -> U441(93796) | MATCH continue_existing_assignment cnt:17
[327] Block54 Char="e" PDF[334] -> U75(pdf_75) OX[5038] -> U441(93796) | MATCH new_assignment cnt:1
[328] Block55 Char="-" PDF[335] -> U75(pdf_75) OX[5040] -> U441(93796) | MATCH continue_existing_assignment cnt:2
[329] Block56 Char="1" PDF[336] -> U75(pdf_75) OX[5042] -> U441(93796) | MATCH continue_existing_assignment cnt:3
[330] Block57 Char="2" PDF[337] -> U76(pdf_76) OX[5044] -> U441(93796) | MATCH new_assignment cnt:1
[331] Block58 Char="(" PDF[338] -> U76(pdf_76) OX[5047] -> U441(93796) | MATCH continue_existing_assignment cnt:2
[332] Block58 Char="1" PDF[339] -> U76(pdf_76) OX[5048] -> U441(93796) | MATCH continue_existing_assignment cnt:3
[333] Block58 Char="." PDF[340] -> U76(pdf_76) OX[5049] -> U441(93796) | MATCH continue_existing_assignment cnt:4
[334] Block58 Char="4" PDF[341] -> U76(pdf_76) OX[5050] -> U441(93796) | MATCH continue_existing_assignment cnt:5
[335] Block58 Char="7" PDF[342] -> U76(pdf_76) OX[5051] -> U441(93796) | MATCH continue_existing_assignment cnt:6
[336] Block58 Char="-" PDF[343] -> U76(pdf_76) OX[5052] -> U441(93796) | MATCH continue_existing_assignment cnt:7
[337] Block58 Char="1" PDF[344] -> U76(pdf_76) OX[5053] -> U441(93796) | MATCH continue_existing_assignment cnt:8
[338] Block58 Char="." PDF[345] -> U76(pdf_76) OX[5054] -> U441(93796) | MATCH continue_existing_assignment cnt:9
[339] Block58 Char="9" PDF[346] -> U76(pdf_76) OX[5055] -> U441(93796) | MATCH continue_existing_assignment cnt:10
[340] Block58 Char="7" PDF[347] -> U76(pdf_76) OX[5056] -> U441(93796) | MATCH continue_existing_assignment cnt:11
[341] Block59 Char="0" PDF[349] -> U78(pdf_78) OX[5058] -> U441(93796) | MATCH new_assignment cnt:1
[342] Block59 Char="." PDF[350] -> U78(pdf_78) OX[5059] -> U441(93796) | MATCH continue_existing_assignment cnt:2
[343] Block59 Char="4" PDF[351] -> U78(pdf_78) OX[5060] -> U441(93796) | MATCH continue_existing_assignment cnt:3
[344] Block59 Char="7" PDF[352] -> U78(pdf_78) OX[5061] -> U441(93796) | MATCH continue_existing_assignment cnt:4
[345] Block59 Char=")" PDF[353] -> U79(pdf_79) OX[5062] -> U441(93796) | MATCH new_assignment cnt:1
[346] Block60 Char="=" PDF[354] -> U80(pdf_80) OX[5066] -> U441(93796) | MATCH new_assignment cnt:1
[347] Block60 Char="0" PDF[355] -> U81(pdf_81) OX[5067] -> U441(93796) | MATCH new_assignment cnt:1
[348] Block60 Char="." PDF[356] -> U81(pdf_81) OX[5068] -> U441(93796) | MATCH continue_existing_assignment cnt:2
[349] Block60 Char="5" PDF[357] -> U81(pdf_81) OX[5069] -> U441(93796) | MATCH continue_existing_assignment cnt:3
[350] Block60 Char="i" PDF[358] -> U82(pdf_82) OX[5070] -> U443(93798) | MATCH new_assignment cnt:1
[351] Block60 Char="m" PDF[359] -> U82(pdf_82) OX[5071] -> U443(93798) | MATCH continue_existing_assignment cnt:2
[352] Block60 Char="p" PDF[360] -> U82(pdf_82) OX[5072] -> U443(93798) | MATCH continue_existing_assignment cnt:3
[353] Block60 Char="l" PDF[361] -> U82(pdf_82) OX[5073] -> U443(93798) | MATCH continue_existing_assignment cnt:4
[354] Block60 Char="i" PDF[362] -> U82(pdf_82) OX[5074] -> U443(93798) | MATCH continue_existing_assignment cnt:5
[355] Block60 Char="k" PDF[363] -> U82(pdf_82) OX[5075] -> U443(93798) | MATCH continue_existing_assignment cnt:6
[356] Block60 Char="a" PDF[364] -> U82(pdf_82) OX[5076] -> U443(93798) | MATCH continue_existing_assignment cnt:7
[357] Block60 Char="s" PDF[365] -> U82(pdf_82) OX[5077] -> U443(93798) | MATCH continue_existing_assignment cnt:8
[358] Block60 Char="i" PDF[366] -> U82(pdf_82) OX[5078] -> U443(93798) | MATCH continue_existing_assignment cnt:9
[359] Block60 Char="[" PDF[367] -> U83(pdf_83) OX[5079] -> U444(93799) | MATCH new_assignment cnt:1
[360] Block60 Char="r" PDF[368] -> U83(pdf_83) OX[5080] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[361] Block60 Char="1" PDF[369] -> U83(pdf_83) OX[5081] -> U444(93799) | MATCH continue_existing_assignment cnt:3
[362] Block60 Char="]" PDF[370] -> U83(pdf_83) OX[5082] -> U444(93799) | MATCH continue_existing_assignment cnt:4
[363] Block60 Char="i" PDF[371] -> U84(pdf_84) OX[5083] -> U444(93799) | MATCH new_assignment cnt:1
[364] Block60 Char="f" PDF[372] -> U84(pdf_84) OX[5084] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[365] Block60 Char="c" PDF[373] -> U85(pdf_85) OX[5085] -> U444(93799) | MATCH new_assignment cnt:1
[366] Block60 Char="r" PDF[374] -> U85(pdf_85) OX[5086] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[367] Block60 Char="i" PDF[375] -> U86(pdf_86) OX[5087] -> U444(93799) | MATCH new_assignment cnt:1
[368] Block60 Char="s" PDF[376] -> U86(pdf_86) OX[5088] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[369] Block60 Char="l" PDF[377] -> U87(pdf_87) OX[5089] -> U444(93799) | MATCH new_assignment cnt:1
[370] Block60 Char="o" PDF[378] -> U87(pdf_87) OX[5090] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[371] Block60 Char="a" PDF[379] -> U88(pdf_88) OX[5091] -> U444(93799) | MATCH new_assignment cnt:1
[372] Block60 Char="n" PDF[380] -> U88(pdf_88) OX[5092] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[373] Block60 Char="d" PDF[381] -> U88(pdf_88) OX[5093] -> U444(93799) | MATCH continue_existing_assignment cnt:3
[374] Block60 Char="d" PDF[382] -> U89(pdf_89) OX[5094] -> U444(93799) | MATCH new_assignment cnt:1
[375] Block60 Char="e" PDF[383] -> U89(pdf_89) OX[5095] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[376] Block60 Char="r" PDF[384] -> U89(pdf_89) OX[5096] -> U444(93799) | MATCH continue_existing_assignment cnt:3
[377] Block60 Char="i" PDF[385] -> U90(pdf_90) OX[5097] -> U444(93799) | MATCH new_assignment cnt:1
[378] Block60 Char="s" PDF[386] -> U90(pdf_90) OX[5098] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[379] Block60 Char="l" PDF[387] -> U91(pdf_91) OX[5099] -> U444(93799) | MATCH new_assignment cnt:1
[380] Block60 Char="o" PDF[388] -> U91(pdf_91) OX[5100] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[381] Block60 Char="a" PDF[389] -> U92(pdf_92) OX[5101] -> U444(93799) | MATCH new_assignment cnt:1
[382] Block60 Char="n" PDF[390] -> U92(pdf_92) OX[5102] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[383] Block60 Char="d" PDF[391] -> U92(pdf_92) OX[5103] -> U444(93799) | MATCH continue_existing_assignment cnt:3
[384] Block60 Char="r" PDF[392] -> U93(pdf_93) OX[5104] -> U444(93799) | MATCH new_assignment cnt:1
[385] Block60 Char="o" PDF[393] -> U93(pdf_93) OX[5105] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[386] Block60 Char="a" PDF[394] -> U93(pdf_93) OX[5106] -> U444(93799) | MATCH continue_existing_assignment cnt:3
[387] Block60 Char="i" PDF[395] -> U94(pdf_94) OX[5107] -> U444(93799) | MATCH new_assignment cnt:1
[388] Block60 Char="s" PDF[396] -> U94(pdf_94) OX[5108] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[389] Block60 Char="l" PDF[397] -> U95(pdf_95) OX[5109] -> U444(93799) | MATCH new_assignment cnt:1
[390] Block60 Char="o" PDF[398] -> U95(pdf_95) OX[5110] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[391] Block60 Char="a" PDF[399] -> U96(pdf_96) OX[5111] -> U444(93799) | MATCH new_assignment cnt:1
[392] Block60 Char="n" PDF[400] -> U96(pdf_96) OX[5112] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[393] Block60 Char="d" PDF[401] -> U96(pdf_96) OX[5113] -> U444(93799) | MATCH continue_existing_assignment cnt:3
[394] Block60 Char="r" PDF[402] -> U97(pdf_97) OX[5114] -> U444(93799) | MATCH new_assignment cnt:1
[395] Block60 Char="o" PDF[403] -> U97(pdf_97) OX[5115] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[396] Block60 Char="e" PDF[404] -> U97(pdf_97) OX[5116] -> U444(93799) | MATCH continue_existing_assignment cnt:3
[397] Block60 Char="i" PDF[405] -> U98(pdf_98) OX[5117] -> U444(93799) | MATCH new_assignment cnt:1
[398] Block60 Char="s" PDF[406] -> U98(pdf_98) OX[5118] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[399] Block60 Char="l" PDF[407] -> U99(pdf_99) OX[5119] -> U444(93799) | MATCH new_assignment cnt:1
[400] Block60 Char="o" PDF[408] -> U99(pdf_99) OX[5120] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[401] Block60 Char="a" PDF[409] -> U100(pdf_100) OX[5121] -> U444(93799) | MATCH new_assignment cnt:1
[402] Block60 Char="n" PDF[410] -> U100(pdf_100) OX[5122] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[403] Block60 Char="d" PDF[411] -> U100(pdf_100) OX[5123] -> U444(93799) | MATCH continue_existing_assignment cnt:3
[404] Block60 Char="g" PDF[412] -> U101(pdf_101) OX[5124] -> U444(93799) | MATCH new_assignment cnt:1
[405] Block60 Char="p" PDF[413] -> U101(pdf_101) OX[5125] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[406] Block60 Char="m" PDF[414] -> U101(pdf_101) OX[5126] -> U444(93799) | MATCH continue_existing_assignment cnt:3
[407] Block60 Char="i" PDF[415] -> U102(pdf_102) OX[5127] -> U444(93799) | MATCH new_assignment cnt:1
[408] Block60 Char="s" PDF[416] -> U102(pdf_102) OX[5128] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[409] Block60 Char="l" PDF[417] -> U103(pdf_103) OX[5129] -> U444(93799) | MATCH new_assignment cnt:1
[410] Block60 Char="o" PDF[418] -> U103(pdf_103) OX[5130] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[411] Block60 Char="a" PDF[419] -> U103(pdf_103) OX[5131] -> U444(93799) | MATCH continue_existing_assignment cnt:3
[412] Block60 Char="n" PDF[420] -> U103(pdf_103) OX[5132] -> U444(93799) | MATCH continue_existing_assignment cnt:4
[413] Block60 Char="d" PDF[421] -> U103(pdf_103) OX[5133] -> U444(93799) | MATCH continue_existing_assignment cnt:5
[414] Block60 Char="t" PDF[422] -> U103(pdf_103) OX[5134] -> U444(93799) | MATCH continue_existing_assignment cnt:6
[415] Block60 Char="a" PDF[423] -> U103(pdf_103) OX[5135] -> U444(93799) | MATCH continue_existing_assignment cnt:7
[416] Block60 Char="t" PDF[424] -> U103(pdf_103) OX[5136] -> U444(93799) | MATCH continue_existing_assignment cnt:8
[417] Block60 Char="i" PDF[425] -> U103(pdf_103) OX[5137] -> U444(93799) | MATCH continue_existing_assignment cnt:9
[418] Block60 Char="s" PDF[426] -> U103(pdf_103) OX[5138] -> U444(93799) | MATCH continue_existing_assignment cnt:10
[419] Block60 Char="l" PDF[427] -> U103(pdf_103) OX[5139] -> U444(93799) | MATCH continue_existing_assignment cnt:11
[420] Block60 Char="o" PDF[428] -> U103(pdf_103) OX[5140] -> U444(93799) | MATCH continue_existing_assignment cnt:12
[421] Block60 Char="t" PDF[429] -> U104(pdf_104) OX[5141] -> U444(93799) | MATCH new_assignment cnt:1
[422] Block60 Char="h" PDF[430] -> U104(pdf_104) OX[5142] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[423] Block60 Char="e" PDF[431] -> U104(pdf_104) OX[5143] -> U444(93799) | MATCH continue_existing_assignment cnt:3
[424] Block60 Char="n" PDF[432] -> U104(pdf_104) OX[5144] -> U444(93799) | MATCH continue_existing_assignment cnt:4
[425] Block60 Char="p" PDF[433] -> U105(pdf_105) OX[5145] -> U444(93799) | MATCH new_assignment cnt:1
[426] Block60 Char="g" PDF[434] -> U105(pdf_105) OX[5146] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[427] Block60 Char="=" PDF[435] -> U105(pdf_105) OX[5147] -> U444(93799) | MATCH continue_existing_assignment cnt:3
[428] Block60 Char="-" PDF[436] -> U106(pdf_106) OX[5148] -> U444(93799) | MATCH new_assignment cnt:1
[429] Block60 Char="0" PDF[437] -> U106(pdf_106) OX[5149] -> U444(93799) | MATCH continue_existing_assignment cnt:2
[430] Block60 Char="," PDF[438] -> U106(pdf_106) OX[5150] -> U444(93799) | MATCH continue_existing_assignment cnt:3
[431] Block60 Char="4" PDF[439] -> U106(pdf_106) OX[5151] -> U444(93799) | MATCH continue_existing_assignment cnt:4
[432] Block60 Char="4" PDF[440] -> U106(pdf_106) OX[5152] -> U444(93799) | MATCH continue_existing_assignment cnt:5
[433] Block60 Char="α" PDF[441] -> U107(pdf_107) OX[5153] -> U445(93800_r0_c0) | MATCH new_assignment cnt:1
[434] Block60 Char="-" PDF[442] -> U107(pdf_107) OX[5154] -> U445(93800_r0_c0) | MATCH continue_existing_assignment cnt:2
