=== 2026-01-21T08:46:16 doc_id=489 page=7 phase=pass1 steps=822 min_openxml_idx=429 pdf_units=195 openxml_units=969 ===
[0] Block0 Char="μ" PDF[0] -> U0(pdf_0) OX[4142] -> U415(93770) | SKIP cross_page_backward: openxml_idx=415 < min_from_prev_page=429
[50] Block8 Char="," PDF[51] -> U11(pdf_11) OX[4701] -> U431(93786) | MATCH continue_existing_assignment cnt:6
[51] Block8 Char="0" PDF[52] -> U11(pdf_11) OX[4702] -> U431(93786) | MATCH continue_existing_assignment cnt:7
[52] Block8 Char="." PDF[53] -> U11(pdf_11) OX[4703] -> U431(93786) | MATCH continue_existing_assignment cnt:8
[53] Block8 Char="2" PDF[54] -> U11(pdf_11) OX[4704] -> U431(93786) | MATCH continue_existing_assignment cnt:9
[54] Block8 Char="3" PDF[55] -> U11(pdf_11) OX[4705] -> U431(93786) | MATCH continue_existing_assignment cnt:10
[55] Block8 Char="," PDF[56] -> U11(pdf_11) OX[4706] -> U431(93786) | MATCH continue_existing_assignment cnt:11
[56] Block8 Char="1" PDF[57] -> U11(pdf_11) OX[4707] -> U431(93786) | MATCH continue_existing_assignment cnt:12
[57] Block8 Char="." PDF[58] -> U11(pdf_11) OX[4708] -> U431(93786) | MATCH continue_existing_assignment cnt:13
[58] Block8 Char="4" PDF[59] -> U11(pdf_11) OX[4709] -> U431(93786) | MATCH continue_existing_assignment cnt:14
[59] Block8 Char="1" PDF[60] -> U11(pdf_11) OX[4710] -> U431(93786) | MATCH continue_existing_assignment cnt:15
[60] Block8 Char=")" PDF[61] -> U11(pdf_11) OX[4711] -> U431(93786) | MATCH continue_existing_assignment cnt:16
[61] Block8 Char="=" PDF[62] -> U12(pdf_12) OX[4712] -> U431(93786) | MATCH new_assignment cnt:1
[62] Block8 Char="e" PDF[63] -> U13(pdf_13) OX[4713] -> U431(93786) | MATCH new_assignment cnt:1
[63] Block9 Char="-" PDF[64] -> U13(pdf_13) OX[4715] -> U431(93786) | MATCH continue_existing_assignment cnt:2
[64] Block10 Char="1" PDF[65] -> U13(pdf_13) OX[4717] -> U431(93786) | MATCH continue_existing_assignment cnt:3
[65] Block11 Char="2" PDF[66] -> U14(pdf_14) OX[4719] -> U431(93786) | MATCH new_assignment cnt:1
[66] Block12 Char="(" PDF[67] -> U14(pdf_14) OX[4722] -> U431(93786) | MATCH continue_existing_assignment cnt:2
[67] Block12 Char="1" PDF[68] -> U14(pdf_14) OX[4723] -> U431(93786) | MATCH continue_existing_assignment cnt:3
[68] Block12 Char="." PDF[69] -> U14(pdf_14) OX[4724] -> U431(93786) | MATCH continue_existing_assignment cnt:4
[69] Block12 Char="3" PDF[70] -> U14(pdf_14) OX[4725] -> U431(93786) | MATCH continue_existing_assignment cnt:5
