=== 2026-01-31T05:18:32 doc_id=552 page=5 phase=pass1 steps=1404 min_openxml_idx=50 pdf_units=175 openxml_units=62 ===
[0] Block0 Char="1" PDF[0] -> U0(pdf_1) OX[387] -> U6(108240) | SKIP cross_page_backward: openxml_idx=6 < min_from_prev_page=50
[50] Block1 Char="a" PDF[50] -> U8(pdf_9) OX[5995] -> U51(108285) | MATCH continue_existing_assignment cnt:2
[51] Block1 Char="r" PDF[51] -> U8(pdf_9) OX[5996] -> U51(108285) | MATCH continue_existing_assignment cnt:3
[52] Block1 Char="u" PDF[52] -> U8(pdf_9) OX[5997] -> U51(108285) | MATCH continue_existing_assignment cnt:4
[53] Block1 Char="s" PDF[53] -> U8(pdf_9) OX[5998] -> U51(108285) | MATCH continue_existing_assignment cnt:5
[54] Block1 Char="d" PDF[54] -> U9(pdf_10) OX[5999] -> U51(108285) | MATCH new_assignment cnt:1
[55] Block1 Char="i" PDF[55] -> U9(pdf_10) OX[6000] -> U51(108285) | MATCH continue_existing_assignment cnt:2
[56] Block1 Char="l" PDF[56] -> U9(pdf_10) OX[6001] -> U51(108285) | MATCH continue_existing_assignment cnt:3
[57] Block1 Char="a" PDF[57] -> U9(pdf_10) OX[6002] -> U51(108285) | MATCH continue_existing_assignment cnt:4
[58] Block1 Char="k" PDF[58] -> U9(pdf_10) OX[6003] -> U51(108285) | MATCH continue_existing_assignment cnt:5
[59] Block1 Char="u" PDF[59] -> U9(pdf_10) OX[6004] -> U51(108285) | MATCH continue_existing_assignment cnt:6
[60] Block1 Char="k" PDF[60] -> U9(pdf_10) OX[6005] -> U51(108285) | MATCH continue_existing_assignment cnt:7
[61] Block1 Char="a" PDF[61] -> U9(pdf_10) OX[6006] -> U51(108285) | MATCH continue_existing_assignment cnt:8
[62] Block1 Char="n" PDF[62] -> U9(pdf_10) OX[6007] -> U51(108285) | MATCH continue_existing_assignment cnt:9
[63] Block1 Char="o" PDF[63] -> U10(pdf_11) OX[6008] -> U51(108285) | MATCH new_assignment cnt:1
[64] Block1 Char="l" PDF[64] -> U10(pdf_11) OX[6009] -> U51(108285) | MATCH continue_existing_assignment cnt:2
[65] Block1 Char="e" PDF[65] -> U10(pdf_11) OX[6010] -> U51(108285) | MATCH continue_existing_assignment cnt:3
[66] Block1 Char="h" PDF[66] -> U10(pdf_11) OX[6011] -> U51(108285) | MATCH continue_existing_assignment cnt:4
[67] Block1 Char="m" PDF[67] -> U11(pdf_12) OX[6012] -> U51(108285) | MATCH new_assignment cnt:1
[68] Block1 Char="o" PDF[68] -> U11(pdf_12) OX[6013] -> U51(108285) | MATCH continue_existing_assignment cnt:2
[69] Block1 Char="d" PDF[69] -> U11(pdf_12) OX[6014] -> U51(108285) | MATCH continue_existing_assignment cnt:3
[70] Block1 Char="e" PDF[70] -> U11(pdf_12) OX[6015] -> U51(108285) | MATCH continue_existing_assignment cnt:4
[71] Block1 Char="l" PDF[71] -> U11(pdf_12) OX[6016] -> U51(108285) | MATCH continue_existing_assignment cnt:5
[72] Block2 Char="." PDF[74] -> U12(pdf_13) OX[6018] -> U52(108286) | MATCH new_assignment cnt:1
