=== 2026-01-31T05:18:32 doc_id=552 page=5 phase=pass1 steps=1404 min_openxml_idx=50 pdf_units=175 openxml_units=62 ===
[0] Block0 Char="1" PDF[0] -> U0(pdf_1) OX[387] -> U6(108240) | SKIP cross_page_backward: openxml_idx=6 < min_from_prev_page=50
[212] Block3 Char="l" PDF[216] -> U33(pdf_34) OX[6159] -> U53(108287) | MATCH continue_existing_assignment cnt:5
[213] Block4 Char="." PDF[219] -> U34(pdf_35) OX[6161] -> U54(108288) | MATCH new_assignment cnt:1
[214] Block4 Char="f" PDF[220] -> U35(pdf_36) OX[6162] -> U54(108288) | MATCH new_assignment cnt:1
[215] Block4 Char="o" PDF[221] -> U35(pdf_36) OX[6163] -> U54(108288) | MATCH continue_existing_assignment cnt:2
[216] Block4 Char="r" PDF[222] -> U35(pdf_36) OX[6164] -> U54(108288) | MATCH continue_existing_assignment cnt:3
[217] Block4 Char="m" PDF[223] -> U35(pdf_36) OX[6165] -> U54(108288) | MATCH continue_existing_assignment cnt:4
[218] Block4 Char="a" PDF[224] -> U35(pdf_36) OX[6166] -> U54(108288) | MATCH continue_existing_assignment cnt:5
[219] Block4 Char="t" PDF[225] -> U35(pdf_36) OX[6167] -> U54(108288) | MATCH continue_existing_assignment cnt:6
[220] Block4 Char="o" PDF[226] -> U36(pdf_37) OX[6168] -> U54(108288) | MATCH new_assignment cnt:1
[221] Block4 Char="u" PDF[227] -> U36(pdf_37) OX[6169] -> U54(108288) | MATCH continue_existing_assignment cnt:2
[222] Block4 Char="t" PDF[228] -> U36(pdf_37) OX[6170] -> U54(108288) | MATCH continue_existing_assignment cnt:3
[223] Block4 Char="p" PDF[229] -> U36(pdf_37) OX[6171] -> U54(108288) | MATCH continue_existing_assignment cnt:4
[224] Block4 Char="u" PDF[230] -> U36(pdf_37) OX[6172] -> U54(108288) | MATCH continue_existing_assignment cnt:5
[225] Block4 Char="t" PDF[231] -> U36(pdf_37) OX[6173] -> U54(108288) | MATCH continue_existing_assignment cnt:6
[226] Block4 Char="," PDF[232] -> U36(pdf_37) OX[6174] -> U54(108288) | MATCH continue_existing_assignment cnt:7
[227] Block4 Char="y" PDF[233] -> U37(pdf_38) OX[6175] -> U54(108288) | MATCH new_assignment cnt:1
[228] Block4 Char="a" PDF[234] -> U37(pdf_38) OX[6176] -> U54(108288) | MATCH continue_existing_assignment cnt:2
[229] Block4 Char="i" PDF[235] -> U37(pdf_38) OX[6177] -> U54(108288) | MATCH continue_existing_assignment cnt:3
[230] Block4 Char="t" PDF[236] -> U37(pdf_38) OX[6178] -> U54(108288) | MATCH continue_existing_assignment cnt:4
[231] Block4 Char="u" PDF[237] -> U37(pdf_38) OX[6179] -> U54(108288) | MATCH continue_existing_assignment cnt:5
[232] Block4 Char="b" PDF[238] -> U38(pdf_39) OX[6180] -> U54(108288) | MATCH new_assignment cnt:1
[233] Block4 Char="e" PDF[239] -> U38(pdf_39) OX[6181] -> U54(108288) | MATCH continue_existing_assignment cnt:2
[234] Block4 Char="n" PDF[240] -> U38(pdf_39) OX[6182] -> U54(108288) | MATCH continue_existing_assignment cnt:3
[235] Block4 Char="t" PDF[241] -> U38(pdf_39) OX[6183] -> U54(108288) | MATCH continue_existing_assignment cnt:4
[236] Block4 Char="u" PDF[242] -> U38(pdf_39) OX[6184] -> U54(108288) | MATCH continue_existing_assignment cnt:5
[237] Block4 Char="k" PDF[243] -> U38(pdf_39) OX[6185] -> U54(108288) | MATCH continue_existing_assignment cnt:6
[238] Block4 Char="h" PDF[244] -> U39(pdf_40) OX[6186] -> U54(108288) | MATCH new_assignment cnt:1
[239] Block4 Char="a" PDF[245] -> U39(pdf_40) OX[6187] -> U54(108288) | MATCH continue_existing_assignment cnt:2
[240] Block4 Char="s" PDF[246] -> U39(pdf_40) OX[6188] -> U54(108288) | MATCH continue_existing_assignment cnt:3
[241] Block4 Char="i" PDF[247] -> U39(pdf_40) OX[6189] -> U54(108288) | MATCH continue_existing_assignment cnt:4
[242] Block4 Char="l" PDF[248] -> U39(pdf_40) OX[6190] -> U54(108288) | MATCH continue_existing_assignment cnt:5
[243] Block4 Char="k" PDF[249] -> U40(pdf_41) OX[6191] -> U54(108288) | MATCH new_assignment cnt:1
[244] Block4 Char="e" PDF[250] -> U40(pdf_41) OX[6192] -> U54(108288) | MATCH continue_existing_assignment cnt:2
[245] Block4 Char="l" PDF[251] -> U40(pdf_41) OX[6193] -> U54(108288) | MATCH continue_existing_assignment cnt:3
[246] Block4 Char="u" PDF[252] -> U40(pdf_41) OX[6194] -> U54(108288) | MATCH continue_existing_assignment cnt:4
[247] Block4 Char="a" PDF[253] -> U40(pdf_41) OX[6195] -> U54(108288) | MATCH continue_existing_assignment cnt:5
[248] Block4 Char="r" PDF[254] -> U40(pdf_41) OX[6196] -> U54(108288) | MATCH continue_existing_assignment cnt:6
[249] Block4 Char="a" PDF[255] -> U40(pdf_41) OX[6197] -> U54(108288) | MATCH continue_existing_assignment cnt:7
[250] Block4 Char="n" PDF[256] -> U40(pdf_41) OX[6198] -> U54(108288) | MATCH continue_existing_assignment cnt:8
[251] Block4 Char="y" PDF[257] -> U41(pdf_42) OX[6199] -> U54(108288) | MATCH new_assignment cnt:1
[252] Block4 Char="a" PDF[258] -> U41(pdf_42) OX[6200] -> U54(108288) | MATCH continue_existing_assignment cnt:2
[253] Block4 Char="n" PDF[259] -> U41(pdf_42) OX[6201] -> U54(108288) | MATCH continue_existing_assignment cnt:3
[254] Block4 Char="g" PDF[260] -> U41(pdf_42) OX[6202] -> U54(108288) | MATCH continue_existing_assignment cnt:4
[255] Block4 Char="d" PDF[261] -> U42(pdf_43) OX[6203] -> U54(108288) | MATCH new_assignment cnt:1
[256] Block4 Char="i" PDF[262] -> U42(pdf_43) OX[6204] -> U54(108288) | MATCH continue_existing_assignment cnt:2
[257] Block4 Char="h" PDF[263] -> U42(pdf_43) OX[6205] -> U54(108288) | MATCH continue_existing_assignment cnt:3
[258] Block4 Char="a" PDF[264] -> U42(pdf_43) OX[6206] -> U54(108288) | MATCH continue_existing_assignment cnt:4
[259] Block4 Char="r" PDF[265] -> U42(pdf_43) OX[6207] -> U54(108288) | MATCH continue_existing_assignment cnt:5
[260] Block4 Char="a" PDF[266] -> U42(pdf_43) OX[6208] -> U54(108288) | MATCH continue_existing_assignment cnt:6
[261] Block4 Char="p" PDF[267] -> U42(pdf_43) OX[6209] -> U54(108288) | MATCH continue_existing_assignment cnt:7
[262] Block4 Char="k" PDF[268] -> U42(pdf_43) OX[6210] -> U54(108288) | MATCH continue_existing_assignment cnt:8
[263] Block4 Char="a" PDF[269] -> U42(pdf_43) OX[6211] -> U54(108288) | MATCH continue_existing_assignment cnt:9
[264] Block4 Char="n" PDF[270] -> U42(pdf_43) OX[6212] -> U54(108288) | MATCH continue_existing_assignment cnt:10
[265] Block4 Char="," PDF[271] -> U42(pdf_43) OX[6213] -> U54(108288) | MATCH continue_existing_assignment cnt:11
[266] Block4 Char="m" PDF[272] -> U43(pdf_44) OX[6214] -> U54(108288) | MATCH new_assignment cnt:1
[267] Block4 Char="i" PDF[273] -> U43(pdf_44) OX[6215] -> U54(108288) | MATCH continue_existing_assignment cnt:2
[268] Block4 Char="s" PDF[274] -> U43(pdf_44) OX[6216] -> U54(108288) | MATCH continue_existing_assignment cnt:3
[269] Block4 Char="a" PDF[275] -> U43(pdf_44) OX[6217] -> U54(108288) | MATCH continue_existing_assignment cnt:4
[270] Block4 Char="l" PDF[276] -> U43(pdf_44) OX[6218] -> U54(108288) | MATCH continue_existing_assignment cnt:5
[271] Block4 Char="n" PDF[277] -> U43(pdf_44) OX[6219] -> U54(108288) | MATCH continue_existing_assignment cnt:6
[272] Block4 Char="y" PDF[278] -> U43(pdf_44) OX[6220] -> U54(108288) | MATCH continue_existing_assignment cnt:7
[273] Block4 Char="a" PDF[279] -> U43(pdf_44) OX[6221] -> U54(108288) | MATCH continue_existing_assignment cnt:8
[274] Block4 Char="d" PDF[280] -> U44(pdf_45) OX[6222] -> U54(108288) | MATCH new_assignment cnt:1
[275] Block4 Char="a" PDF[281] -> U44(pdf_45) OX[6223] -> U54(108288) | MATCH continue_existing_assignment cnt:2
[276] Block4 Char="f" PDF[282] -> U44(pdf_45) OX[6224] -> U54(108288) | MATCH continue_existing_assignment cnt:3
[277] Block4 Char="t" PDF[283] -> U44(pdf_45) OX[6225] -> U54(108288) | MATCH continue_existing_assignment cnt:4
[278] Block4 Char="a" PDF[284] -> U44(pdf_45) OX[6226] -> U54(108288) | MATCH continue_existing_assignment cnt:5
[279] Block4 Char="r" PDF[285] -> U44(pdf_45) OX[6227] -> U54(108288) | MATCH continue_existing_assignment cnt:6
[280] Block4 Char="," PDF[286] -> U44(pdf_45) OX[6228] -> U54(108288) | MATCH continue_existing_assignment cnt:7
[281] Block4 Char="t" PDF[287] -> U45(pdf_46) OX[6229] -> U54(108288) | MATCH new_assignment cnt:1
[282] Block4 Char="a" PDF[288] -> U45(pdf_46) OX[6230] -> U54(108288) | MATCH continue_existing_assignment cnt:2
[283] Block4 Char="b" PDF[289] -> U45(pdf_46) OX[6231] -> U54(108288) | MATCH continue_existing_assignment cnt:3
[284] Block4 Char="e" PDF[290] -> U45(pdf_46) OX[6232] -> U54(108288) | MATCH continue_existing_assignment cnt:4
[285] Block4 Char="l" PDF[291] -> U45(pdf_46) OX[6233] -> U54(108288) | MATCH continue_existing_assignment cnt:5
[286] Block4 Char="," PDF[292] -> U45(pdf_46) OX[6234] -> U54(108288) | MATCH continue_existing_assignment cnt:6
[287] Block4 Char="a" PDF[293] -> U45(pdf_46) OX[6235] -> U54(108288) | MATCH continue_existing_assignment cnt:7
[288] Block4 Char="t" PDF[294] -> U45(pdf_46) OX[6236] -> U54(108288) | MATCH continue_existing_assignment cnt:8
[289] Block4 Char="a" PDF[295] -> U45(pdf_46) OX[6237] -> U54(108288) | MATCH continue_existing_assignment cnt:9
[290] Block4 Char="u" PDF[296] -> U45(pdf_46) OX[6238] -> U54(108288) | MATCH continue_existing_assignment cnt:10
[291] Block4 Char="k" PDF[297] -> U46(pdf_47) OX[6239] -> U54(108288) | MATCH new_assignment cnt:1
[292] Block4 Char="a" PDF[298] -> U46(pdf_47) OX[6240] -> U54(108288) | MATCH continue_existing_assignment cnt:2
[293] Block4 Char="l" PDF[299] -> U46(pdf_47) OX[6241] -> U54(108288) | MATCH continue_existing_assignment cnt:3
[294] Block4 Char="i" PDF[300] -> U46(pdf_47) OX[6242] -> U54(108288) | MATCH continue_existing_assignment cnt:4
[295] Block4 Char="m" PDF[301] -> U46(pdf_47) OX[6243] -> U54(108288) | MATCH continue_existing_assignment cnt:5
[296] Block4 Char="a" PDF[302] -> U46(pdf_47) OX[6244] -> U54(108288) | MATCH continue_existing_assignment cnt:6
[297] Block4 Char="t" PDF[303] -> U46(pdf_47) OX[6245] -> U54(108288) | MATCH continue_existing_assignment cnt:7
[298] Block4 Char="t" PDF[304] -> U46(pdf_47) OX[6246] -> U54(108288) | MATCH continue_existing_assignment cnt:8
[299] Block4 Char="e" PDF[305] -> U46(pdf_47) OX[6247] -> U54(108288) | MATCH continue_existing_assignment cnt:9
[300] Block4 Char="r" PDF[306] -> U46(pdf_47) OX[6248] -> U54(108288) | MATCH continue_existing_assignment cnt:10
[301] Block4 Char="s" PDF[307] -> U46(pdf_47) OX[6249] -> U54(108288) | MATCH continue_existing_assignment cnt:11
[302] Block4 Char="t" PDF[308] -> U46(pdf_47) OX[6250] -> U54(108288) | MATCH continue_existing_assignment cnt:12
[303] Block4 Char="r" PDF[309] -> U46(pdf_47) OX[6251] -> U54(108288) | MATCH continue_existing_assignment cnt:13
[304] Block4 Char="u" PDF[310] -> U46(pdf_47) OX[6252] -> U54(108288) | MATCH continue_existing_assignment cnt:14
[305] Block4 Char="k" PDF[311] -> U46(pdf_47) OX[6253] -> U54(108288) | MATCH continue_existing_assignment cnt:15
[306] Block4 Char="t" PDF[312] -> U46(pdf_47) OX[6254] -> U54(108288) | MATCH continue_existing_assignment cnt:16
[307] Block4 Char="u" PDF[313] -> U46(pdf_47) OX[6255] -> U54(108288) | MATCH continue_existing_assignment cnt:17
[308] Block4 Char="r" PDF[314] -> U46(pdf_47) OX[6256] -> U54(108288) | MATCH continue_existing_assignment cnt:18
[309] Block5 Char="b" PDF[316] -> U47(pdf_48) OX[6257] -> U55(108289) | MATCH new_assignment cnt:1
[310] Block5 Char="e" PDF[317] -> U47(pdf_48) OX[6258] -> U55(108289) | MATCH continue_existing_assignment cnt:2
[311] Block5 Char="b" PDF[318] -> U47(pdf_48) OX[6259] -> U55(108289) | MATCH continue_existing_assignment cnt:3
[312] Block5 Char="e" PDF[319] -> U47(pdf_48) OX[6260] -> U55(108289) | MATCH continue_existing_assignment cnt:4
[313] Block5 Char="r" PDF[320] -> U47(pdf_48) OX[6261] -> U55(108289) | MATCH continue_existing_assignment cnt:5
[314] Block5 Char="a" PDF[321] -> U47(pdf_48) OX[6262] -> U55(108289) | MATCH continue_existing_assignment cnt:6
[315] Block5 Char="p" PDF[322] -> U47(pdf_48) OX[6263] -> U55(108289) | MATCH continue_existing_assignment cnt:7
[316] Block5 Char="a" PDF[323] -> U47(pdf_48) OX[6264] -> U55(108289) | MATCH continue_existing_assignment cnt:8
[317] Block5 Char="p" PDF[324] -> U48(pdf_49) OX[6265] -> U55(108289) | MATCH new_assignment cnt:1
[318] Block5 Char="e" PDF[325] -> U48(pdf_49) OX[6266] -> U55(108289) | MATCH continue_existing_assignment cnt:2
[319] Block5 Char="n" PDF[326] -> U48(pdf_49) OX[6267] -> U55(108289) | MATCH continue_existing_assignment cnt:3
[320] Block5 Char="d" PDF[327] -> U48(pdf_49) OX[6268] -> U55(108289) | MATCH continue_existing_assignment cnt:4
[321] Block5 Char="e" PDF[328] -> U48(pdf_49) OX[6269] -> U55(108289) | MATCH continue_existing_assignment cnt:5
[322] Block5 Char="k" PDF[329] -> U48(pdf_49) OX[6270] -> U55(108289) | MATCH continue_existing_assignment cnt:6
[323] Block5 Char="a" PDF[330] -> U48(pdf_49) OX[6271] -> U55(108289) | MATCH continue_existing_assignment cnt:7
[324] Block5 Char="t" PDF[331] -> U48(pdf_49) OX[6272] -> U55(108289) | MATCH continue_existing_assignment cnt:8
[325] Block5 Char="a" PDF[332] -> U48(pdf_49) OX[6273] -> U55(108289) | MATCH continue_existing_assignment cnt:9
[326] Block5 Char="n" PDF[333] -> U48(pdf_49) OX[6274] -> U55(108289) | MATCH continue_existing_assignment cnt:10
[327] Block5 Char="y" PDF[334] -> U49(pdf_50) OX[6275] -> U55(108289) | MATCH new_assignment cnt:1
[328] Block5 Char="a" PDF[335] -> U49(pdf_50) OX[6276] -> U55(108289) | MATCH continue_existing_assignment cnt:2
[329] Block5 Char="n" PDF[336] -> U49(pdf_50) OX[6277] -> U55(108289) | MATCH continue_existing_assignment cnt:3
[330] Block5 Char="g" PDF[337] -> U49(pdf_50) OX[6278] -> U55(108289) | MATCH continue_existing_assignment cnt:4
[331] Block5 Char="u" PDF[338] -> U50(pdf_51) OX[6279] -> U55(108289) | MATCH new_assignment cnt:1
[332] Block5 Char="m" PDF[339] -> U50(pdf_51) OX[6280] -> U55(108289) | MATCH continue_existing_assignment cnt:2
[333] Block5 Char="u" PDF[340] -> U50(pdf_51) OX[6281] -> U55(108289) | MATCH continue_existing_assignment cnt:3
[334] Block5 Char="m" PDF[341] -> U50(pdf_51) OX[6282] -> U55(108289) | MATCH continue_existing_assignment cnt:4
[335] Block5 Char="d" PDF[342] -> U51(pdf_52) OX[6283] -> U55(108289) | MATCH new_assignment cnt:1
[336] Block5 Char="i" PDF[343] -> U51(pdf_52) OX[6284] -> U55(108289) | MATCH continue_existing_assignment cnt:2
[337] Block5 Char="g" PDF[344] -> U51(pdf_52) OX[6285] -> U55(108289) | MATCH continue_existing_assignment cnt:3
[338] Block5 Char="u" PDF[345] -> U51(pdf_52) OX[6286] -> U55(108289) | MATCH continue_existing_assignment cnt:4
[339] Block5 Char="n" PDF[346] -> U51(pdf_52) OX[6287] -> U55(108289) | MATCH continue_existing_assignment cnt:5
[340] Block5 Char="a" PDF[347] -> U51(pdf_52) OX[6288] -> U55(108289) | MATCH continue_existing_assignment cnt:6
[341] Block5 Char="k" PDF[348] -> U51(pdf_52) OX[6289] -> U55(108289) | MATCH continue_existing_assignment cnt:7
[342] Block5 Char="a" PDF[349] -> U51(pdf_52) OX[6290] -> U55(108289) | MATCH continue_existing_assignment cnt:8
[343] Block5 Char="n" PDF[350] -> U51(pdf_52) OX[6291] -> U55(108289) | MATCH continue_existing_assignment cnt:9
[344] Block5 Char="d" PDF[351] -> U52(pdf_53) OX[6292] -> U55(108289) | MATCH new_assignment cnt:1
[345] Block5 Char="a" PDF[352] -> U52(pdf_53) OX[6293] -> U55(108289) | MATCH continue_existing_assignment cnt:2
[346] Block5 Char="l" PDF[353] -> U52(pdf_53) OX[6294] -> U55(108289) | MATCH continue_existing_assignment cnt:3
[347] Block5 Char="a" PDF[354] -> U52(pdf_53) OX[6295] -> U55(108289) | MATCH continue_existing_assignment cnt:4
[348] Block5 Char="m" PDF[355] -> U52(pdf_53) OX[6296] -> U55(108289) | MATCH continue_existing_assignment cnt:5
[349] Block5 Char="p" PDF[356] -> U53(pdf_54) OX[6297] -> U55(108289) | MATCH new_assignment cnt:1
[350] Block5 Char="r" PDF[357] -> U53(pdf_54) OX[6298] -> U55(108289) | MATCH continue_existing_assignment cnt:2
[351] Block5 Char="a" PDF[358] -> U53(pdf_54) OX[6299] -> U55(108289) | MATCH continue_existing_assignment cnt:3
[352] Block5 Char="k" PDF[359] -> U53(pdf_54) OX[6300] -> U55(108289) | MATCH continue_existing_assignment cnt:4
[353] Block5 Char="t" PDF[360] -> U53(pdf_54) OX[6301] -> U55(108289) | MATCH continue_existing_assignment cnt:5
[354] Block5 Char="i" PDF[361] -> U53(pdf_54) OX[6302] -> U55(108289) | MATCH continue_existing_assignment cnt:6
[355] Block5 Char="k" PDF[362] -> U53(pdf_54) OX[6303] -> U55(108289) | MATCH continue_existing_assignment cnt:7
[356] Block5 Char="p" PDF[363] -> U54(pdf_55) OX[6304] -> U55(108289) | MATCH new_assignment cnt:1
[357] Block5 Char="r" PDF[364] -> U54(pdf_55) OX[6305] -> U55(108289) | MATCH continue_existing_assignment cnt:2
[358] Block5 Char="o" PDF[365] -> U54(pdf_55) OX[6306] -> U55(108289) | MATCH continue_existing_assignment cnt:3
[359] Block5 Char="m" PDF[366] -> U54(pdf_55) OX[6307] -> U55(108289) | MATCH continue_existing_assignment cnt:4
[360] Block5 Char="p" PDF[367] -> U54(pdf_55) OX[6308] -> U55(108289) | MATCH continue_existing_assignment cnt:5
[361] Block5 Char="t" PDF[368] -> U54(pdf_55) OX[6309] -> U55(108289) | MATCH continue_existing_assignment cnt:6
[362] Block5 Char="e" PDF[369] -> U55(pdf_56) OX[6310] -> U55(108289) | MATCH new_assignment cnt:1
[363] Block5 Char="n" PDF[370] -> U55(pdf_56) OX[6311] -> U55(108289) | MATCH continue_existing_assignment cnt:2
[364] Block5 Char="g" PDF[371] -> U55(pdf_56) OX[6312] -> U55(108289) | MATCH continue_existing_assignment cnt:3
[365] Block5 Char="i" PDF[372] -> U55(pdf_56) OX[6313] -> U55(108289) | MATCH continue_existing_assignment cnt:4
[366] Block5 Char="n" PDF[373] -> U55(pdf_56) OX[6314] -> U55(108289) | MATCH continue_existing_assignment cnt:5
[367] Block5 Char="e" PDF[374] -> U55(pdf_56) OX[6315] -> U55(108289) | MATCH continue_existing_assignment cnt:6
[368] Block5 Char="e" PDF[375] -> U55(pdf_56) OX[6316] -> U55(108289) | MATCH continue_existing_assignment cnt:7
[369] Block5 Char="r" PDF[376] -> U55(pdf_56) OX[6317] -> U55(108289) | MATCH continue_existing_assignment cnt:8
[370] Block5 Char="i" PDF[377] -> U55(pdf_56) OX[6318] -> U55(108289) | MATCH continue_existing_assignment cnt:9
[371] Block5 Char="n" PDF[378] -> U55(pdf_56) OX[6319] -> U55(108289) | MATCH continue_existing_assignment cnt:10
[372] Block5 Char="g" PDF[379] -> U55(pdf_56) OX[6320] -> U55(108289) | MATCH continue_existing_assignment cnt:11
[373] Block5 Char="a" PDF[380] -> U56(pdf_57) OX[6321] -> U55(108289) | MATCH new_assignment cnt:1
[374] Block5 Char="n" PDF[381] -> U56(pdf_57) OX[6322] -> U55(108289) | MATCH continue_existing_assignment cnt:2
[375] Block5 Char="t" PDF[382] -> U56(pdf_57) OX[6323] -> U55(108289) | MATCH continue_existing_assignment cnt:3
[376] Block5 Char="a" PDF[383] -> U56(pdf_57) OX[6324] -> U55(108289) | MATCH continue_existing_assignment cnt:4
[377] Block5 Char="r" PDF[384] -> U56(pdf_57) OX[6325] -> U55(108289) | MATCH continue_existing_assignment cnt:5
[378] Block5 Char="a" PDF[385] -> U56(pdf_57) OX[6326] -> U55(108289) | MATCH continue_existing_assignment cnt:6
[379] Block5 Char="l" PDF[386] -> U56(pdf_57) OX[6327] -> U55(108289) | MATCH continue_existing_assignment cnt:7
[380] Block5 Char="a" PDF[387] -> U56(pdf_57) OX[6328] -> U55(108289) | MATCH continue_existing_assignment cnt:8
[381] Block5 Char="i" PDF[388] -> U56(pdf_57) OX[6329] -> U55(108289) | MATCH continue_existing_assignment cnt:9
[382] Block5 Char="n" PDF[389] -> U56(pdf_57) OX[6330] -> U55(108289) | MATCH continue_existing_assignment cnt:10
[383] Block6 Char="-" PDF[391] -> U57(pdf_58) OX[6331] -> U56(108290) | MATCH new_assignment cnt:1
[384] Block6 Char="z" PDF[392] -> U58(pdf_59) OX[6332] -> U56(108290) | MATCH new_assignment cnt:1
[385] Block6 Char="e" PDF[393] -> U58(pdf_59) OX[6333] -> U56(108290) | MATCH continue_existing_assignment cnt:2
[386] Block6 Char="r" PDF[394] -> U58(pdf_59) OX[6334] -> U56(108290) | MATCH continue_existing_assignment cnt:3
[387] Block6 Char="o" PDF[395] -> U58(pdf_59) OX[6335] -> U56(108290) | MATCH continue_existing_assignment cnt:4
[388] Block6 Char="-" PDF[396] -> U58(pdf_59) OX[6336] -> U56(108290) | MATCH continue_existing_assignment cnt:5
[389] Block6 Char="s" PDF[397] -> U58(pdf_59) OX[6337] -> U56(108290) | MATCH continue_existing_assignment cnt:6
[390] Block6 Char="h" PDF[398] -> U58(pdf_59) OX[6338] -> U56(108290) | MATCH continue_existing_assignment cnt:7
[391] Block6 Char="o" PDF[399] -> U58(pdf_59) OX[6339] -> U56(108290) | MATCH continue_existing_assignment cnt:8
[392] Block6 Char="t" PDF[400] -> U58(pdf_59) OX[6340] -> U56(108290) | MATCH continue_existing_assignment cnt:9
[393] Block6 Char="p" PDF[401] -> U58(pdf_59) OX[6341] -> U56(108290) | MATCH continue_existing_assignment cnt:10
[394] Block6 Char="r" PDF[402] -> U58(pdf_59) OX[6342] -> U56(108290) | MATCH continue_existing_assignment cnt:11
[395] Block6 Char="o" PDF[403] -> U58(pdf_59) OX[6343] -> U56(108290) | MATCH continue_existing_assignment cnt:12
[396] Block6 Char="m" PDF[404] -> U58(pdf_59) OX[6344] -> U56(108290) | MATCH continue_existing_assignment cnt:13
[397] Block6 Char="p" PDF[405] -> U58(pdf_59) OX[6345] -> U56(108290) | MATCH continue_existing_assignment cnt:14
[398] Block6 Char="t" PDF[406] -> U58(pdf_59) OX[6346] -> U56(108290) | MATCH continue_existing_assignment cnt:15
[399] Block6 Char="i" PDF[407] -> U58(pdf_59) OX[6347] -> U56(108290) | MATCH continue_existing_assignment cnt:16
[400] Block6 Char="n" PDF[408] -> U58(pdf_59) OX[6348] -> U56(108290) | MATCH continue_existing_assignment cnt:17
[401] Block6 Char="g" PDF[409] -> U58(pdf_59) OX[6349] -> U56(108290) | MATCH continue_existing_assignment cnt:18
[402] Block6 Char="," PDF[410] -> U58(pdf_59) OX[6350] -> U56(108290) | MATCH continue_existing_assignment cnt:19
[403] Block6 Char="d" PDF[411] -> U58(pdf_59) OX[6351] -> U56(108290) | MATCH continue_existing_assignment cnt:20
[404] Block6 Char="i" PDF[412] -> U58(pdf_59) OX[6352] -> U56(108290) | MATCH continue_existing_assignment cnt:21
[405] Block6 Char="m" PDF[413] -> U58(pdf_59) OX[6353] -> U56(108290) | MATCH continue_existing_assignment cnt:22
[406] Block6 Char="a" PDF[414] -> U58(pdf_59) OX[6354] -> U56(108290) | MATCH continue_existing_assignment cnt:23
[407] Block6 Char="n" PDF[415] -> U58(pdf_59) OX[6355] -> U56(108290) | MATCH continue_existing_assignment cnt:24
[408] Block6 Char="a" PDF[416] -> U58(pdf_59) OX[6356] -> U56(108290) | MATCH continue_existing_assignment cnt:25
[409] Block6 Char="m" PDF[417] -> U58(pdf_59) OX[6357] -> U56(108290) | MATCH continue_existing_assignment cnt:26
[410] Block6 Char="o" PDF[418] -> U58(pdf_59) OX[6358] -> U56(108290) | MATCH continue_existing_assignment cnt:27
[411] Block6 Char="d" PDF[419] -> U58(pdf_59) OX[6359] -> U56(108290) | MATCH continue_existing_assignment cnt:28
[412] Block6 Char="e" PDF[420] -> U58(pdf_59) OX[6360] -> U56(108290) | MATCH continue_existing_assignment cnt:29
[413] Block6 Char="l" PDF[421] -> U58(pdf_59) OX[6361] -> U56(108290) | MATCH continue_existing_assignment cnt:30
[414] Block6 Char="d" PDF[422] -> U58(pdf_59) OX[6362] -> U56(108290) | MATCH continue_existing_assignment cnt:31
[415] Block6 Char="i" PDF[423] -> U58(pdf_59) OX[6363] -> U56(108290) | MATCH continue_existing_assignment cnt:32
[416] Block6 Char="b" PDF[424] -> U58(pdf_59) OX[6364] -> U56(108290) | MATCH continue_existing_assignment cnt:33
[417] Block6 Char="e" PDF[425] -> U58(pdf_59) OX[6365] -> U56(108290) | MATCH continue_existing_assignment cnt:34
[418] Block6 Char="r" PDF[426] -> U58(pdf_59) OX[6366] -> U56(108290) | MATCH continue_existing_assignment cnt:35
[419] Block6 Char="i" PDF[427] -> U58(pdf_59) OX[6367] -> U56(108290) | MATCH continue_existing_assignment cnt:36
[420] Block6 Char="i" PDF[428] -> U58(pdf_59) OX[6368] -> U56(108290) | MATCH continue_existing_assignment cnt:37
[421] Block6 Char="n" PDF[429] -> U58(pdf_59) OX[6369] -> U56(108290) | MATCH continue_existing_assignment cnt:38
[422] Block6 Char="s" PDF[430] -> U58(pdf_59) OX[6370] -> U56(108290) | MATCH continue_existing_assignment cnt:39
[423] Block6 Char="t" PDF[431] -> U58(pdf_59) OX[6371] -> U56(108290) | MATCH continue_existing_assignment cnt:40
[424] Block6 Char="r" PDF[432] -> U58(pdf_59) OX[6372] -> U56(108290) | MATCH continue_existing_assignment cnt:41
[425] Block6 Char="u" PDF[433] -> U58(pdf_59) OX[6373] -> U56(108290) | MATCH continue_existing_assignment cnt:42
[426] Block6 Char="k" PDF[434] -> U58(pdf_59) OX[6374] -> U56(108290) | MATCH continue_existing_assignment cnt:43
[427] Block6 Char="s" PDF[435] -> U58(pdf_59) OX[6375] -> U56(108290) | MATCH continue_existing_assignment cnt:44
[428] Block6 Char="i" PDF[436] -> U58(pdf_59) OX[6376] -> U56(108290) | MATCH continue_existing_assignment cnt:45
[429] Block6 Char="l" PDF[437] -> U58(pdf_59) OX[6377] -> U56(108290) | MATCH continue_existing_assignment cnt:46
[430] Block6 Char="a" PDF[438] -> U58(pdf_59) OX[6378] -> U56(108290) | MATCH continue_existing_assignment cnt:47
[431] Block6 Char="n" PDF[439] -> U58(pdf_59) OX[6379] -> U56(108290) | MATCH continue_existing_assignment cnt:48
[432] Block6 Char="g" PDF[440] -> U58(pdf_59) OX[6380] -> U56(108290) | MATCH continue_existing_assignment cnt:49
